Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,CLEAN_DESC,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,STANDARDIZED_DIMENSIONS,STAGE1_STATUS
543076016,1nx6-16' Cinnamon Cove Sq Edge - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-16' Cinnamon Cove Sq Edge - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543076016,1n x 6-16' Cinnamon Cove Sq Edge - Tre x Enhance Naturals Decking,NORMALIZED
543076020,1nx6-20' Cinnamon Cove Sq Edge - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-20' Cinnamon Cove Sq Edge - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543076020,1n x 6-20' Cinnamon Cove Sq Edge - Tre x Enhance Naturals Decking,NORMALIZED
543076412,1nx6-12' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-12' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543076412,1n x 6-12' Cinnamon Cove Grooved - Tre x Enhance Naturals Decking,NORMALIZED
543076416,1nx6-16' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-16' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543076416,1n x 6-16' Cinnamon Cove Grooved - Tre x Enhance Naturals Decking,NORMALIZED
543076420,1nx6-20' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-20' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543076420,1n x 6-20' Cinnamon Cove Grooved - Tre x Enhance Naturals Decking,NORMALIZED
1516870,1nx6-16' Golden Hour Sq Edge - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-16' Golden Hour Sq Edge - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516870,1n x 6-16' Golden Hour Sq Edge - Tre x Enhance Naturals Decking,NORMALIZED
1516871,1nx6-20' Golden Hour Sq Edge - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-20' Golden Hour Sq Edge - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516871,1n x 6-20' Golden Hour Sq Edge - Tre x Enhance Naturals Decking,NORMALIZED
1516872,1nx6-12' Golden Hour Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-12' Golden Hour Grooved - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516872,1n x 6-12' Golden Hour Grooved - Tre x Enhance Naturals Decking,NORMALIZED
1516873,1nx6-16' Golden Hour Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-16' Golden Hour Grooved - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516873,1n x 6-16' Golden Hour Grooved - Tre x Enhance Naturals Decking,NORMALIZED
1516874,1nx6-20' Golden Hour Grooved - Trex Enhance Naturals Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-20' Golden Hour Grooved - Trex Enhance Naturals Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516874,1n x 6-20' Golden Hour Grooved - Tre x Enhance Naturals Decking,NORMALIZED
1516879,1nx6-16' Pebble Beach Sq Edge - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-16' Pebble Beach Sq Edge - Trex Enhance Basics Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516879,1n x 6-16' Pebble Beach Sq Edge - Tre x Enhance Basics Decking,NORMALIZED
1516880,1nx6-20' Pebble Beach Sq Edge - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-20' Pebble Beach Sq Edge - Trex Enhance Basics Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516880,1n x 6-20' Pebble Beach Sq Edge - Tre x Enhance Basics Decking,NORMALIZED
1516881,1nx6-12' Pebble Beach Grooved - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-12' Pebble Beach Grooved - Trex Enhance Basics Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516881,1n x 6-12' Pebble Beach Grooved - Tre x Enhance Basics Decking,NORMALIZED
1516882,1nx6-16' Pebble Beach Grooved - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-16' Pebble Beach Grooved - Trex Enhance Basics Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516882,1n x 6-16' Pebble Beach Grooved - Tre x Enhance Basics Decking,NORMALIZED
1516883,1nx6-20' Pebble Beach Grooved - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1nx6-20' Pebble Beach Grooved - Trex Enhance Basics Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516883,1n x 6-20' Pebble Beach Grooved - Tre x Enhance Basics Decking,NORMALIZED
543005016,7/8nx6-16' Malted Barley Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-16' Malted Barley Sq Edge - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543005016,7/8n x 6-16' Malted Barley Sq Edge - Tre x Select 2.0 Decking,NORMALIZED
543005020,7/8nx6-20' Malted Barley Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-20' Malted Barley Sq Edge - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543005020,7/8n x 6-20' Malted Barley Sq Edge - Tre x Select 2.0 Decking,NORMALIZED
543005412,7/8nx6-12' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-12' Malted Barley Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543005412,7/8n x 6-12' Malted Barley Grooved - Tre x Select 2.0 Decking,NORMALIZED
543005416,7/8nx6-16' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-16' Malted Barley Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543005416,7/8n x 6-16' Malted Barley Grooved - Tre x Select 2.0 Decking,NORMALIZED
543005420,7/8nx6-20' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-20' Malted Barley Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543005420,7/8n x 6-20' Malted Barley Grooved - Tre x Select 2.0 Decking,NORMALIZED
1516891,7/8nx6-16' Millstone Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-16' Millstone Sq Edge - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516891,7/8n x 6-16' Millstone Sq Edge - Tre x Select 2.0 Decking,NORMALIZED
1516892,7/8nx6-20' Millstone Sq Edge -Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-20' Millstone Sq Edge -Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516892,7/8n x 6-20' Millstone Sq Edge -Tre x Select 2.0 Decking,NORMALIZED
1516893,7/8nx6-12' Millstone Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-12' Millstone Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516893,7/8n x 6-12' Millstone Grooved - Tre x Select 2.0 Decking,NORMALIZED
1516894,7/8nx6-16' Millstone Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-16' Millstone Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516894,7/8n x 6-16' Millstone Grooved - Tre x Select 2.0 Decking,NORMALIZED
1516895,7/8nx6-20' Millstone Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-20' Millstone Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,1516895,7/8n x 6-20' Millstone Grooved - Tre x Select 2.0 Decking,NORMALIZED
543007016,7/8nx6-16' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-16' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543007016,7/8n x 6-16' Whiskey Barrel Sq Edge - Tre x Select 2.0 Decking,NORMALIZED
543007020,7/8nx6-20' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-20' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543007020,7/8n x 6-20' Whiskey Barrel Sq Edge - Tre x Select 2.0 Decking,NORMALIZED
543007412,7/8nx6-12' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-12' Whiskey Barrel Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543007412,7/8n x 6-12' Whiskey Barrel Grooved - Tre x Select 2.0 Decking,NORMALIZED
543007416,7/8nx6-16' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-16' Whiskey Barrel Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543007416,7/8n x 6-16' Whiskey Barrel Grooved - Tre x Select 2.0 Decking,NORMALIZED
543007420,7/8nx6-20' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),7/8nx6-20' Whiskey Barrel Grooved - Trex Select 2.0 Decking,Boise Cascade Building Materials,Boise Cascade Building Materials,543007420,7/8n x 6-20' Whiskey Barrel Grooved - Tre x Select 2.0 Decking,NORMALIZED
ADR5117512CS,1x12-12' Coastline - Vintage Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' Coastline - Vintage Azek PVC Fascia,Parksite,Parksite,ADR5117512CS,1 in x 12-12' Coastline - Vintage Azek PVC Fascia,NORMALIZED
ADR5117512MH,1x12-12' Mahogany - Vintage Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' Mahogany - Vintage Azek PVC Fascia,Parksite,Parksite,ADR5117512MH,1 in x 12-12' Mahogany - Vintage Azek PVC Fascia,NORMALIZED
ADR5117512WT,1x12-12' Weathered Teak - Vintage Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' Weathered Teak - Vintage Azek PVC Fascia,Parksite,Parksite,ADR5117512WT,1 in x 12-12' Weathered Teak - Vintage Azek PVC Fascia,NORMALIZED
ADR5117512AW,1x12-12' American Walnut - Landmark Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' American Walnut - Landmark Azek PVC Fascia,Parksite,Parksite,ADR5117512AW,1 in x 12-12' American Walnut - Landmark Azek PVC Fascia,NORMALIZED
ADR5117512CG,1x12-12' Castle Gate - Landmark Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' Castle Gate - Landmark Azek PVC Fascia,Parksite,Parksite,ADR5117512CG,1 in x 12-12' Castle Gate - Landmark Azek PVC Fascia,NORMALIZED
ADR5117512FW,1x12-12' French White Oak - Landmark Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' French White Oak - Landmark Azek PVC Fascia,Parksite,Parksite,ADR5117512FW,1 in x 12-12' French White Oak - Landmark Azek PVC Fascia,NORMALIZED
1508395,1x8-12' Brownstone - Harvest Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x8-12' Brownstone - Harvest Azek PVC Fascia,Parksite,Parksite,1508395,1 in x 8-12' Brownstone - Harvest Azek PVC Fascia,NORMALIZED
1508396,1x8-12' Slate Gray - Harvest Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x8-12' Slate Gray - Harvest Azek PVC Fascia,Parksite,Parksite,1508396,1 in x 8-12' Slate Gray - Harvest Azek PVC Fascia,NORMALIZED
ADCR5117512BS,1x12-12' Brownstone - Harvest Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' Brownstone - Harvest Azek PVC Fascia,Parksite,Parksite,ADCR5117512BS,1 in x 12-12' Brownstone - Harvest Azek PVC Fascia,NORMALIZED
ADCR5117512SG,1x12-12' Slate Gray - Harvest Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),1x12-12' Slate Gray - Harvest Azek PVC Fascia,Parksite,Parksite,ADCR5117512SG,1 in x 12-12' Slate Gray - Harvest Azek PVC Fascia,NORMALIZED
543140908,1x8-12' Biscayne - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x8-12' Biscayne - Trex Lineage,U S Lumber,U S Lumber,543140908,1 in x 8-12' Biscayne - Tre x Lineage,NORMALIZED
543142908,1x8-12' Carmel - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x8-12' Carmel - Trex Lineage,U S Lumber,U S Lumber,543142908,1 in x 8-12' Carmel - Tre x Lineage,NORMALIZED
543143908,1x8-12' Jasper - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x8-12' Jasper - Trex Lineage,U S Lumber,U S Lumber,543143908,1 in x 8-12' Jasper - Tre x Lineage,NORMALIZED
543140912,1x12-12' Biscayne - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x12-12' Biscayne - Trex Lineage,U S Lumber,U S Lumber,543140912,1 in x 12-12' Biscayne - Tre x Lineage,NORMALIZED
543142912,1x12-12' Carmel - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x12-12' Carmel - Trex Lineage,U S Lumber,U S Lumber,543142912,1 in x 12-12' Carmel - Tre x Lineage,NORMALIZED
543143912,1x12-12' Jasper - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x12-12' Jasper - Trex Lineage,U S Lumber,U S Lumber,543143912,1 in x 12-12' Jasper - Tre x Lineage,NORMALIZED
1513715,1x12-12' Hatteras - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Hatteras - Trex Lineage,Boise Cascade Building Materials,Boise Cascade Building Materials,1513715,1 in x 12-12' Hatteras - Tre x Lineage,NORMALIZED
1513716,1x12-12' Salt Flat - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Salt Flat - Trex Lineage,Boise Cascade Building Materials,Boise Cascade Building Materials,1513716,1 in x 12-12' Salt Flat - Tre x Lineage,NORMALIZED
1513722,1x8-12' Honey Grove - Trex Enhance Naturals Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Honey Grove - Trex Enhance Naturals Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1513722,1 in x 8-12' Honey Grove - Tre x Enhance Naturals Fascia,NORMALIZED
1513723,1x12-12' Honey Grove - Trex Enhance Naturals Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Honey Grove - Trex Enhance Naturals Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1513723,1 in x 12-12' Honey Grove - Tre x Enhance Naturals Fascia,NORMALIZED
1513729,1x8-12' Tide Pool - Trex Enhance Basics Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Tide Pool - Trex Enhance Basics Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1513729,1 in x 8-12' Tide Pool - Tre x Enhance Basics Fascia,NORMALIZED
1513730,1x12-12' Tide Pool - Trex Enhance Basics Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Tide Pool - Trex Enhance Basics Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1513730,1 in x 12-12' Tide Pool - Tre x Enhance Basics Fascia,NORMALIZED
543076916,1x8-12' Cinnamon Cove - Trex Enhance Naturals Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Cinnamon Cove - Trex Enhance Naturals Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,543076916,1 in x 8-12' Cinnamon Cove - Tre x Enhance Naturals Fascia,NORMALIZED
1516876,1x8-12' Golden Hour - Trex Enhance Naturals Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Golden Hour - Trex Enhance Naturals Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1516876,1 in x 8-12' Golden Hour - Tre x Enhance Naturals Fascia,NORMALIZED
543076936,1x12-12' Cinnamon Cove - Trex Enhance Naturals Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Cinnamon Cove - Trex Enhance Naturals Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,543076936,1 in x 12-12' Cinnamon Cove - Tre x Enhance Naturals Fascia,NORMALIZED
1516878,1x12-12' Golden Hour - Trex Enhance Naturals Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Golden Hour - Trex Enhance Naturals Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1516878,1 in x 12-12' Golden Hour - Tre x Enhance Naturals Fascia,NORMALIZED
1516884,1x8-12' Pebble Beach - Trex Enhance Basics Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Pebble Beach - Trex Enhance Basics Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1516884,1 in x 8-12' Pebble Beach - Tre x Enhance Basics Fascia,NORMALIZED
1516885,1x12-12' Pebble Beach - Trex Enhance Basics Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Pebble Beach - Trex Enhance Basics Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1516885,1 in x 12-12' Pebble Beach - Tre x Enhance Basics Fascia,NORMALIZED
543005916,1x8-12' Malted Barley - Trex Select 2.0 Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Malted Barley - Trex Select 2.0 Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,543005916,1 in x 8-12' Malted Barley - Tre x Select 2.0 Fascia,NORMALIZED
1516902,1x8-12' Millstone - Trex Select 2.0 Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Millstone - Trex Select 2.0 Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1516902,1 in x 8-12' Millstone - Tre x Select 2.0 Fascia,NORMALIZED
543007916,1x8-12' Whiskey Barrel - Trex Select 2.0 Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Whiskey Barrel - Trex Select 2.0 Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,543007916,1 in x 8-12' Whiskey Barrel - Tre x Select 2.0 Fascia,NORMALIZED
543005936,1x12-12' Malted Barley - Trex Select 2.0 Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Malted Barley - Trex Select 2.0 Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,543005936,1 in x 12-12' Malted Barley - Tre x Select 2.0 Fascia,NORMALIZED
1516905,1x12-12' Millstone - Trex Select 2.0 Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Millstone - Trex Select 2.0 Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,1516905,1 in x 12-12' Millstone - Tre x Select 2.0 Fascia,NORMALIZED
543007936,1x12-12' Whiskey Barrel - Trex Select 2.0 Fascia,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x12-12' Whiskey Barrel - Trex Select 2.0 Fascia,Boise Cascade Building Materials,Boise Cascade Building Materials,543007936,1 in x 12-12' Whiskey Barrel - Tre x Select 2.0 Fascia,NORMALIZED
543144908,1x8-12' Island Mist - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x8-12' Island Mist - Trex Lineage,U S Lumber,U S Lumber,543144908,1 in x 8-12' Island Mist - Tre x Lineage,NORMALIZED
543141908,1x8-12' Rainier - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x8-12' Rainier - Trex Lineage,U S Lumber,U S Lumber,543141908,1 in x 8-12' Rainier - Tre x Lineage,NORMALIZED
543144912,1x12-12' Island Mist - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x12-12' Island Mist - Trex Lineage,U S Lumber,U S Lumber,543144912,1 in x 12-12' Island Mist - Tre x Lineage,NORMALIZED
543141912,1x12-12' Rainier - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,U S Lumber (3073),1x12-12' Rainier - Trex Lineage,U S Lumber,U S Lumber,543141912,1 in x 12-12' Rainier - Tre x Lineage,NORMALIZED
1513713,1x8-12' Hatteras - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Hatteras - Trex Lineage,Boise Cascade Building Materials,Boise Cascade Building Materials,1513713,1 in x 8-12' Hatteras - Tre x Lineage,NORMALIZED
1513714,1x8-12' Salt Flat - Trex Lineage,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),1x8-12' Salt Flat - Trex Lineage,Boise Cascade Building Materials,Boise Cascade Building Materials,1513714,1 in x 8-12' Salt Flat - Tre x Lineage,NORMALIZED
73012503,4x4 Wh Heritage Post Trim RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,4x4 Wh Heritage Post Trim RDI,Unknown Manufacturer,Unknown Brand,73012503,4 in x 4 Wh Heritage Post Trim RDI,NORMALIZED
73018131,6x6 Wh Elite Post Trim 4pc RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,6x6 Wh Elite Post Trim 4pc RDI,Unknown Manufacturer,Unknown Brand,73018131,6 in x 6 Wh Elite Post Trim 4pc RDI,NORMALIZED
73018091,4x4 Wh Elite Post Trim RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,4x4 Wh Elite Post Trim RDI,Unknown Manufacturer,Unknown Brand,73018091,4 in x 4 Wh Elite Post Trim RDI,NORMALIZED
73018066,Clay 6x6 Elite Post Trim RDI - 4pc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,Clay 6x6 Elite Post Trim RDI - 4pc,Unknown Manufacturer,Unknown Brand,73018066,Clay 6 x 6 Elite Post Trim RDI - 4pc,NORMALIZED
73018076,4x4 Wh Flat Post Cap RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,4x4 Wh Flat Post Cap RDI,Unknown Manufacturer,Unknown Brand,73018076,4 in x 4 Wh Flat Post Cap RDI,NORMALIZED
61109087,Wh 4x4-39 Blank Post RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,Wh 4x4-39 Blank Post RDI,Unknown Manufacturer,Unknown Brand,61109087,Wh 4 x 4-39 Blank Post RDI,NORMALIZED
73018731,Wh 6x6-108 Post Sleeve RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,Wh 6x6-108 Post Sleeve RDI,Unknown Manufacturer,Unknown Brand,73018731,Wh 6 x 6-108 Post Sleeve RDI,NORMALIZED
61109090,Wh 4x4-108 Post Sleeve RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,Wh 4x4-108 Post Sleeve RDI,Unknown Manufacturer,Unknown Brand,61109090,Wh 4 x 4-108 Post Sleeve RDI,NORMALIZED
73053603,Clay 4x4-108 Post Sleeve RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,Clay 4x4-108 Post Sleeve RDI,Unknown Manufacturer,Unknown Brand,73053603,Clay 4 x 4-108 Post Sleeve RDI,NORMALIZED
73053608,Clay 6x6-108 Post Sleeve RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-,Clay 6x6-108 Post Sleeve RDI,Unknown Manufacturer,Unknown Brand,73053608,Clay 6 x 6-108 Post Sleeve RDI,NORMALIZED
543340896,"4x4-37"" Black Alum Post Sleeve Select Alum Railing - w/Cap & Skirt",TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"4x4-37"" Black Alum Post Sleeve Select Alum Railing - w/Cap & Skirt",Boise Cascade Building Materials,Boise Cascade Building Materials,543340896,"4 in x 4-37"" Black Alum Post Sleeve Select Alum Railing - w/Cap & Skirt",NORMALIZED
